Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","1961","1961","°c","-0.978","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","1962","1962","°c","-0.086","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","1963","1963","°c","-1.717","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","1964","1964","°c","1.308","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","1965","1965","°c","0.368","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","1966","1966","°c","-0.158","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","1967","1967","°c","-0.86","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","1968","1968","°c","0.029","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","1969","1969","°c","0.487","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","1970","1970","°c","-1.027","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","1971","1971","°c","-0.234","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","1972","1972","°c","2.049","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","1973","1973","°c","1.713","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","1974","1974","°c","-0.185","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","1975","1975","°c","-0.139","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","1976","1976","°c","-0.371","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","1977","1977","°c","-2.115","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","1978","1978","°c","0.248","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","1979","1979","°c","1.272","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","1980","1980","°c","0.312","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","1981","1981","°c","-1.4","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","1982","1982","°c","-0.14","E","Estimated value"
"ET","Temperature change on land","392","Japan","7271","Temperature change","7001","January","1983","1983","°c","0.803","E","Estimated value"
