Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Months Code,Months,Year Code,Year,Unit,Value,Flag,Flag Description
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1961","1961","°c","-0.26","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1962","1962","°c","1.409","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1963","1963","°c","-2.51","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1964","1964","°c","-1.169","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1965","1965","°c","0.446","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1966","1966","°c","-1.235","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1967","1967","°c","-0.709","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1968","1968","°c","-1.363","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1969","1969","°c","-0.08","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1970","1970","°c","1.282","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1971","1971","°c","0.371","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1972","1972","°c","0.567","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1973","1973","°c","0.551","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1974","1974","°c","1.841","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1975","1975","°c","1.397","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1976","1976","°c","0.3","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1977","1977","°c","1.161","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1978","1978","°c","0.271","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1979","1979","°c","-0.967","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1980","1980","°c","-0.704","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1981","1981","°c","-2.086","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1982","1982","°c","1.12","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1983","1983","°c","1.173","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1984","1984","°c","0.352","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1985","1985","°c","-2.516","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1986","1986","°c","0.066","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1987","1987","°c","-0.86","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1988","1988","°c","2.519","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1989","1989","°c","0.513","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1990","1990","°c","0.819","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1991","1991","°c","0.408","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1992","1992","°c","0.243","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1993","1993","°c","0.871","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1994","1994","°c","1.79","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1995","1995","°c","-0.168","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1996","1996","°c","1.757","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1997","1997","°c","1.723","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1998","1998","°c","1.436","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","1999","1999","°c","1.091","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2000","2000","°c","-0.482","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2001","2001","°c","1.901","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2002","2002","°c","-0.286","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2003","2003","°c","0.859","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2004","2004","°c","-0.063","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2005","2005","°c","-0.308","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2006","2006","°c","-0.842","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2007","2007","°c","3.066","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2008","2008","°c","2.11","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2009","2009","°c","0.63","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2010","2010","°c","-0.126","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2011","2011","°c","0.909","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2012","2012","°c","0.605","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2013","2013","°c","1.101","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2014","2014","°c","2.864","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2015","2015","°c","1.529","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2016","2016","°c","1.971","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2017","2017","°c","-1.197","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2018","2018","°c","3.063","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2019","2019","°c","-0.51","E","Estimated value"
"ET","Temperature change on land","380","Italy","7271","Temperature change","7001","January","2020","2020","°c","2.15","E","Estimated value"
